"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","Y001","E033","E179WVS","E182"
1,3,2,3,2,1,10,1,6,1,5,1,8,4,1,34,2,0,1,8,NA,NA
2,3,2,3,2,5,5,1,6,1,5,1,5,2,2,20,2,1,3,5,76001,76002
1,3,2,3,2,1,1,1,7,1,7,10,9,4,1,24,2,1,2,10,76007,76002
1,3,2,3,3,7,9,1,5,7,7,1,10,3,2,40,3,0,1,7,76002,76009
2,3,2,3,1,10,1,1,3,1,5,5,10,3,2,39,2,1,2,NA,NA,NA
2,2,2,3,2,3,7,7,7,1,1,1,1,4,2,28,2,0,2,NA,76007,76009
1,2,2,3,2,8,10,1,1,10,1,1,1,4,1,34,1,1,1,1,76002,76009
2,2,2,3,1,1,10,10,6,1,1,1,1,4,1,20,2,0,1,9,76001,76002
2,3,2,3,2,1,8,5,7,8,8,1,1,3,2,31,1,0,1,3,76006,76002
1,3,3,3,2,10,6,1,7,7,5,5,7,3,2,46,2,1,4,5,NA,76002
2,3,2,2,2,9,4,3,7,9,10,1,10,3,2,25,3,1,2,6,NA,76002
2,2,2,2,1,8,1,3,5,4,1,1,6,4,2,19,2,0,3,10,76003,76002
1,3,2,3,3,10,8,8,8,1,10,1,1,4,2,46,1,1,1,NA,76002,76005
1,2,2,3,2,9,5,5,6,9,1,1,5,4,1,41,2,1,2,10,76005,76002
3,3,2,3,2,4,6,1,8,7,4,1,9,4,1,27,2,0,3,5,76004,76001
2,3,2,1,2,4,7,4,1,3,1,1,10,2,2,45,2,1,1,NA,76002,76013
3,3,3,3,2,3,2,1,8,1,8,1,8,4,1,34,2,1,3,3,NA,NA
2,2,2,2,3,6,2,1,6,10,6,1,10,3,2,44,2,1,1,6,76001,76013
1,3,2,3,3,9,9,1,5,1,1,1,1,4,2,41,2,1,3,10,76001,76002
1,3,3,3,2,10,1,1,8,5,NA,1,10,4,2,62,1,1,1,NA,NA,NA
2,3,2,3,2,7,8,9,5,2,2,2,7,3,2,40,1,0,3,NA,76006,76003
2,3,3,3,2,6,3,1,5,3,3,7,8,4,1,27,3,1,2,5,76003,76009
1,2,2,3,2,3,6,6,7,1,1,1,1,4,2,39,2,0,1,NA,NA,NA
1,3,2,3,2,7,5,1,6,1,1,1,1,4,1,18,2,1,2,6,76001,76002
2,2,2,3,1,1,NA,1,6,1,1,1,10,4,2,64,2,0,0,NA,NA,NA
