"B006","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","F141","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS"
4,1,2,3,1,1,8,10,5,5,1,2,8,10,4,2,35,2,0,8,1,1,1,NA
4,1,1,3,2,2,NA,NA,6,1,1,1,1,1,3,1,27,1,1,8,1,NA,2,NA
4,2,2,3,3,2,5,4,5,8,1,1,2,1,4,1,27,2,1,8,0,3,3,76002
NA,1,2,3,2,5,10,2,6,1,1,1,6,1,3,2,55,2,1,5,1,2,10,76006
3,1,2,3,3,5,2,1,2,1,1,1,1,1,3,2,45,3,1,2,1,4,8,76004
3,1,1,3,3,1,1,1,7,1,1,1,1,1,4,2,45,1,0,6,1,1,1,NA
2,3,2,3,2,1,5,5,7,1,1,1,5,1,4,2,35,1,1,8,0,2,10,76001
3,1,2,3,3,5,7,5,7,8,1,6,6,1,4,1,55,1,0,8,1,0,10,NA
NA,1,2,3,2,1,10,1,6,8,1,1,6,1,4,2,55,1,0,8,1,2,5,NA
1,1,2,3,2,9,9,6,7,4,1,1,1,1,4,2,55,2,0,2,1,3,6,NA
1,2,2,3,2,7,6,1,2,1,5,5,5,2,4,1,27,2,1,8,1,2,6,NA
3,1,1,3,1,10,10,10,1,1,1,1,1,1,1,2,21,2,0,5,1,3,1,NA
4,1,2,3,2,7,7,6,7,4,1,1,6,1,4,1,27,2,1,7,1,3,NA,76001
2,2,2,3,2,7,2,2,2,1,1,5,5,5,3,1,35,2,1,6,1,3,5,76003
2,1,2,1,1,7,5,5,4,5,5,7,5,5,4,2,45,3,1,7,1,NA,4,NA
4,1,2,2,1,1,3,1,6,7,1,6,10,1,4,2,27,3,1,4,1,4,1,76002
1,1,2,3,1,4,10,4,8,1,5,5,5,1,4,2,21,2,0,6,1,4,5,NA
1,1,2,2,1,5,4,1,2,10,1,1,10,8,1,1,21,2,0,8,1,3,3,76002
4,1,2,3,2,1,3,3,4,6,10,10,2,1,4,1,21,2,1,8,1,2,6,NA
4,2,2,3,2,5,NA,NA,2,1,1,5,10,1,4,1,21,2,0,5,1,1,NA,NA
4,2,2,3,2,7,8,9,7,8,1,1,1,1,4,1,27,1,0,5,0,3,8,76006
3,2,2,3,2,5,5,4,7,4,1,1,1,1,3,2,55,1,0,7,1,NA,5,NA
4,2,1,3,2,5,5,5,5,1,1,1,1,1,4,2,27,2,0,7,1,2,5,NA
1,2,2,3,1,8,5,5,1,10,1,9,5,5,2,1,21,2,0,8,1,4,3,76002
4,1,2,3,2,10,10,10,1,10,1,1,1,1,4,1,21,2,1,5,1,0,10,NA
NA,1,2,3,2,NA,NA,NA,7,10,1,1,10,1,4,2,45,2,0,8,1,1,NA,NA
3,1,2,3,2,10,5,1,1,10,1,1,5,1,4,2,35,2,0,5,1,3,5,NA
3,2,2,3,2,5,6,5,5,3,1,1,5,2,4,1,21,2,1,2,1,3,5,NA
4,3,3,3,2,3,8,4,2,3,7,8,5,3,1,1,21,2,0,8,1,2,4,NA
4,2,2,3,2,4,5,6,7,2,1,1,2,3,4,2,21,2,1,3,1,4,5,76002
1,1,2,3,2,10,10,4,7,2,5,3,2,1,2,2,35,2,1,8,1,3,1,NA
4,1,2,3,2,9,8,2,8,2,1,7,1,1,4,2,45,3,1,5,1,2,5,NA
4,1,2,3,2,5,8,4,2,1,5,1,5,1,3,1,21,2,0,7,1,2,7,76002
1,3,2,2,2,10,1,1,8,1,NA,1,1,1,4,2,45,2,0,2,1,3,10,76001
3,1,1,3,2,6,6,5,8,1,6,1,1,1,4,2,35,2,0,8,0,1,6,NA
4,2,2,3,2,5,1,10,7,7,1,1,10,1,4,1,21,1,0,8,1,1,10,NA
2,2,2,2,2,10,3,3,1,1,1,1,1,1,3,2,35,3,0,8,1,3,1,NA
4,3,3,3,2,10,1,10,6,10,1,1,1,1,1,2,21,2,0,8,1,3,10,NA
3,2,2,3,2,7,7,7,7,5,1,1,1,1,3,2,45,2,0,6,1,3,5,NA
1,1,2,3,2,2,3,5,7,1,1,1,1,1,4,2,55,1,0,4,1,1,NA,NA
4,1,2,3,1,1,1,1,2,1,1,8,10,1,2,2,35,2,1,8,1,2,NA,NA
1,1,2,2,2,6,1,1,2,1,1,1,7,2,4,2,27,2,1,8,1,2,1,NA
4,1,2,3,2,1,10,10,3,1,1,1,5,1,4,2,21,2,0,7,1,2,NA,76001
