"B008","C001","C002","E018","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS","E182"
1,1,2,3,1,10,1,2,1,1,1,10,4,1,21,2,1,7,1,3,5,76003,76029
1,1,3,3,10,5,1,6,1,5,1,10,3,2,31,2,1,7,0,4,5,76010,76002
1,1,1,2,3,6,5,2,5,5,5,4,4,1,24,2,0,7,1,4,6,76002,76002
1,1,1,1,1,4,6,2,5,1,1,5,1,2,22,2,0,8,0,2,1,4,4
2,1,2,3,10,7,4,8,4,8,1,6,4,2,32,1,0,8,0,3,6,76002,76006
2,1,1,3,4,8,5,3,3,1,1,1,4,2,43,1,0,8,0,1,4,76002,4
2,2,2,3,10,1,1,5,1,1,1,3,1,2,26,1,1,8,0,1,8,76002,76003
2,1,2,3,9,1,1,2,8,10,1,10,3,2,44,1,0,8,1,3,5,4,76029
2,2,2,3,7,8,5,6,3,7,1,4,4,2,37,1,0,8,1,2,5,76002,76003
2,3,2,3,4,3,3,8,8,1,1,5,3,1,26,2,1,8,1,2,5,76002,4
1,1,2,2,2,2,8,1,2,8,1,5,1,1,33,1,1,8,1,3,1,4,4
NA,2,1,3,8,5,5,2,1,1,1,7,2,1,31,1,1,8,0,NA,5,4,4
2,3,2,3,4,4,3,2,2,2,1,3,3,1,30,1,1,8,0,3,7,4,4
2,1,2,3,9,1,5,7,1,10,1,1,4,1,49,2,1,8,0,1,5,76002,76010
NA,3,3,2,5,5,10,8,3,9,5,5,4,2,47,2,1,8,1,2,5,76010,76002
NA,1,3,2,7,5,1,6,5,5,5,5,4,2,32,3,0,8,0,3,5,NA,NA
2,1,2,3,9,5,5,2,1,10,1,1,3,1,67,3,1,8,0,1,5,76006,76002
3,3,3,2,5,5,5,5,2,5,8,10,4,1,45,2,1,8,0,2,5,4,NA
2,1,3,3,8,5,5,6,10,10,8,4,3,2,25,3,0,8,0,1,5,76003,76029
2,1,2,3,9,6,5,7,1,10,1,1,3,1,37,3,0,8,0,3,6,76002,76005
2,1,2,3,9,5,7,7,1,10,1,3,3,2,20,2,0,8,0,1,6,76002,76007
NA,3,3,2,1,5,10,2,5,5,5,5,4,2,67,2,0,8,0,2,8,NA,NA
NA,1,1,2,1,5,1,6,3,8,5,5,4,1,44,2,1,8,0,1,5,76001,NA
1,2,3,3,1,7,2,6,4,8,1,9,1,2,44,3,1,7,0,1,10,76002,4
1,1,2,3,7,4,8,8,6,7,1,5,3,2,20,2,0,7,0,3,4,76001,76010
1,1,2,3,6,9,7,7,1,1,1,1,3,2,52,1,0,7,0,0,1,76002,5
1,2,2,3,1,1,1,7,1,1,1,1,4,1,79,1,1,7,0,0,10,76001,NA
1,1,2,3,10,10,1,7,1,1,1,10,4,2,26,2,0,7,1,0,6,76002,76003
2,1,2,3,10,10,1,7,1,1,10,1,4,2,46,3,1,7,0,0,10,76001,NA
1,1,2,3,8,9,4,7,8,7,NA,6,4,2,20,2,0,7,0,1,4,76004,76005
3,1,2,3,5,3,10,8,10,2,2,10,1,2,19,1,0,7,0,2,5,76002,4
1,1,2,3,2,8,4,7,8,1,1,5,4,1,25,2,0,7,1,4,5,76002,4
1,1,2,3,10,10,10,7,1,10,1,10,4,2,51,1,1,7,0,0,1,76003,76002
3,3,3,2,3,5,1,6,1,10,10,10,4,2,38,2,1,8,0,2,5,76007,4
2,1,2,3,9,7,6,7,1,10,1,2,3,1,19,2,0,8,1,1,6,76002,76010
NA,3,3,1,5,10,1,7,1,8,8,8,4,2,56,2,1,8,1,1,5,76002,NA
2,1,2,3,1,5,5,8,1,10,1,1,3,1,68,2,1,8,0,2,6,76002,76029
2,2,1,3,9,5,5,8,5,10,1,1,4,1,27,3,0,8,0,1,5,76002,76010
2,1,2,3,9,5,6,7,5,10,1,5,4,1,47,2,1,8,0,1,6,76002,76010
2,1,2,3,9,5,7,7,1,10,5,5,3,1,81,1,1,8,0,1,6,76002,76010
NA,3,3,2,3,5,3,7,1,10,7,7,4,2,42,2,0,8,1,3,5,4,4
2,3,2,3,9,6,5,6,5,10,1,1,3,1,76,2,1,8,1,2,6,76002,76005
NA,3,3,NA,5,1,1,7,1,10,5,5,3,1,45,2,0,8,0,2,6,76002,76005
1,1,2,3,8,3,4,7,1,5,1,2,3,1,30,1,1,4,1,2,5,4,5
1,1,2,3,8,4,3,7,1,5,1,3,3,2,55,1,0,4,1,3,5,4,4
3,1,2,3,5,NA,NA,7,4,5,1,1,2,2,54,1,1,4,1,4,3,76003,76002
1,2,2,3,6,1,4,7,1,5,1,1,3,2,59,1,0,4,1,2,5,76003,5
3,1,2,3,5,1,2,8,5,5,3,5,3,1,57,1,1,4,1,2,5,4,76002
1,2,2,3,3,8,1,1,3,5,1,6,4,1,40,1,0,4,0,3,1,76002,76003
1,1,2,2,7,4,5,8,3,5,3,5,3,2,26,2,0,4,1,3,5,4,4
1,3,2,3,10,10,5,7,1,7,1,1,3,2,21,1,0,4,1,0,6,76002,4
1,1,2,3,10,10,1,6,10,5,5,5,1,1,37,1,1,4,1,1,1,76003,76002
1,1,2,3,8,3,2,7,1,5,1,9,3,2,58,2,1,4,1,1,6,76003,76002
2,2,2,3,5,8,7,8,6,6,5,7,3,2,25,2,1,4,0,3,NA,76005,76002
1,1,2,3,6,5,4,7,7,5,5,3,4,2,39,2,0,4,0,3,NA,4,NA
1,1,2,2,3,1,3,1,1,8,1,8,4,2,50,3,1,4,1,5,1,76010,76006
1,1,1,2,10,1,10,6,1,1,5,10,4,1,41,2,1,4,0,1,5,76002,4
1,1,1,2,1,5,5,1,2,NA,7,8,4,1,37,3,1,4,0,5,2,76002,76006
1,1,2,1,7,6,1,3,5,6,4,8,3,1,49,1,0,4,0,1,NA,76003,76002
1,2,2,3,3,2,3,6,6,3,1,7,2,2,61,2,0,4,0,1,10,76002,4
2,1,2,3,7,5,1,7,2,7,2,1,4,2,20,3,1,4,1,2,5,76003,4
1,1,1,1,3,4,4,6,4,10,1,10,3,2,48,3,1,4,1,4,3,76029,76003
1,1,2,2,5,NA,NA,5,1,NA,1,NA,4,2,35,2,1,4,0,2,NA,76002,4
2,1,2,3,1,10,1,8,1,1,1,1,4,2,50,1,0,8,0,0,5,4,76002
3,1,2,3,8,5,1,8,10,1,1,10,4,1,43,2,1,8,0,0,5,4,4
1,3,2,2,1,1,1,8,1,10,10,1,4,1,31,1,1,8,0,1,5,4,76002
3,3,2,3,10,5,1,8,1,10,1,1,3,2,49,1,0,8,0,1,5,76006,76002
3,1,2,3,10,10,10,7,1,1,1,1,2,2,24,2,0,8,0,1,10,76001,76002
3,1,2,2,10,1,1,2,1,10,1,10,3,1,40,2,1,8,0,1,6,4,76010
3,1,1,2,1,1,5,2,1,1,1,10,3,1,53,1,1,8,0,0,5,4,4
1,1,2,3,10,1,1,7,1,1,1,1,3,2,32,2,1,8,0,3,5,4,4
1,1,2,1,5,10,9,2,10,1,1,1,3,2,31,2,1,8,0,2,6,76001,76002
2,3,2,3,10,10,1,8,10,1,1,10,3,2,54,2,0,8,0,2,5,4,76002
1,1,2,2,10,1,3,2,1,10,1,5,3,2,46,2,1,7,0,4,10,76004,76002
2,2,3,2,8,4,3,7,6,5,4,8,1,1,47,3,1,7,1,3,6,5,5
2,1,1,1,7,3,2,2,4,5,3,3,4,2,31,3,1,7,1,2,8,76006,76002
1,1,2,3,7,6,2,7,3,4,2,5,4,1,20,2,1,7,1,4,4,76002,76003
1,1,2,3,1,2,6,6,8,9,1,10,2,2,46,3,1,7,1,2,5,4,76002
1,2,2,3,3,1,3,2,3,7,7,9,4,1,49,2,1,7,1,2,1,76002,76006
1,3,2,3,6,2,4,7,2,5,7,10,2,1,56,3,1,7,1,3,8,76001,76002
2,1,2,2,6,1,1,3,2,5,2,7,3,2,43,1,1,7,1,2,5,76001,76002
1,1,2,3,1,1,1,7,2,10,9,8,3,1,47,3,1,7,1,3,2,76002,76003
1,1,2,2,9,1,1,1,4,3,7,9,3,1,79,2,1,7,1,3,5,76003,76002
2,2,2,3,10,1,1,3,NA,1,1,1,4,2,61,1,1,3,1,2,10,76007,76003
2,2,2,3,10,1,1,6,1,1,1,2,4,2,36,1,0,3,1,2,10,76003,76006
1,1,1,2,6,9,8,6,3,6,1,3,4,2,18,2,0,3,0,1,3,76029,76001
2,1,2,3,10,8,3,6,NA,1,1,1,4,2,25,1,0,3,1,2,NA,76002,76006
1,2,2,3,1,1,7,7,3,1,1,7,4,2,23,1,0,3,1,2,1,76006,4
1,1,2,3,10,10,1,8,1,1,1,1,4,2,27,1,0,3,1,3,10,76001,76005
1,3,2,3,10,10,1,NA,1,NA,1,1,4,2,58,1,1,3,1,0,NA,76006,4
1,2,2,1,10,10,1,8,1,NA,1,1,4,2,45,1,0,3,0,1,10,76006,4
1,2,2,1,4,10,4,7,8,1,1,5,4,2,56,2,NA,3,1,2,8,76002,76010
2,2,2,1,10,10,1,8,1,1,1,8,4,2,60,1,1,3,1,1,10,76002,76006
1,1,2,3,10,1,8,8,1,2,1,10,3,2,35,2,0,6,1,3,NA,76002,4
2,2,2,3,10,8,1,6,5,5,1,6,4,2,56,1,0,6,1,1,NA,76003,NA
1,1,2,3,10,1,2,8,1,5,1,10,2,1,33,1,1,6,1,3,8,76001,76002
1,2,2,3,8,10,2,6,8,5,1,6,3,2,58,1,1,6,1,1,2,76002,76003
1,1,2,3,9,9,2,7,2,1,1,1,3,1,41,2,1,6,1,2,7,76002,4
1,1,1,3,8,2,3,8,3,NA,1,3,3,2,33,2,1,6,0,3,5,76002,4
1,2,2,3,7,5,4,8,6,1,1,1,2,1,23,1,0,6,0,3,5,76002,76010
1,1,1,3,5,8,3,6,1,10,3,2,4,2,51,1,0,6,1,1,2,76002,76010
1,2,2,3,10,6,1,1,1,10,5,8,2,2,53,2,1,6,1,0,NA,76001,4
2,2,2,3,10,1,1,8,1,3,1,1,3,1,69,1,1,6,1,1,NA,76002,4
1,3,2,2,10,5,1,6,1,10,5,5,3,2,71,1,1,2,1,2,5,76003,76029
1,1,2,3,10,10,10,6,1,5,1,5,3,2,27,1,0,2,1,0,5,76001,76002
1,1,2,3,10,5,1,6,10,1,1,5,4,1,51,1,1,2,1,0,10,4,76002
1,1,1,3,1,10,1,7,1,5,1,1,4,2,35,1,1,2,0,2,5,4,4
1,1,2,3,10,10,1,6,1,10,1,5,3,2,35,1,1,2,1,0,5,4,4
1,1,1,2,10,5,1,6,10,10,5,10,3,2,53,1,0,2,1,2,9,76001,4
1,3,2,3,10,5,1,6,1,5,1,10,3,2,54,1,1,2,1,2,5,4,4
1,3,2,2,10,1,1,3,1,10,1,5,3,1,27,1,1,2,1,1,5,4,4
1,1,2,3,10,5,1,2,1,1,1,10,3,2,46,1,1,2,1,3,5,76002,76001
1,3,2,3,1,5,1,6,5,5,5,5,3,1,60,1,1,2,1,1,5,4,76002
2,1,2,2,1,5,2,5,1,8,1,9,2,1,35,2,0,8,1,2,5,76002,76006
1,2,2,3,8,7,2,2,2,5,3,5,2,1,55,2,1,8,1,3,5,76006,76002
2,1,3,3,6,5,5,2,4,6,1,8,3,2,72,2,1,8,0,3,3,76002,4
2,1,1,2,10,5,5,7,1,1,1,5,4,2,24,2,0,8,1,3,5,76002,76003
1,3,2,3,1,7,10,7,10,1,1,1,4,2,33,1,0,8,0,2,NA,76002,76006
2,2,2,3,9,7,1,2,2,8,9,3,1,2,23,2,1,8,0,3,8,4,4
1,2,2,3,10,8,10,3,8,1,1,10,4,2,27,1,0,8,0,0,5,4,4
2,2,2,3,10,2,3,8,4,5,5,5,2,2,41,3,0,8,0,2,5,4,76001
1,1,2,3,2,3,2,7,2,NA,1,5,3,2,43,1,1,8,1,3,5,4,4
2,1,2,3,5,8,1,7,4,10,1,8,3,2,30,2,0,8,1,3,4,76002,4
2,1,2,3,7,4,4,3,8,8,2,8,3,2,39,2,0,8,0,2,5,4,4
2,1,2,3,9,2,5,7,2,2,1,5,2,2,61,2,1,8,0,2,NA,4,76003
2,1,2,3,3,9,4,7,10,9,1,8,3,2,37,2,1,8,0,3,4,76002,76001
1,1,3,2,5,5,5,8,2,5,1,4,3,2,28,2,0,8,1,1,4,76002,76006
1,1,2,3,6,5,5,5,2,2,5,5,4,2,45,2,1,8,0,3,5,76002,76029
1,1,2,3,9,5,3,7,1,1,1,1,4,2,46,1,1,8,1,4,NA,76003,76002
1,3,2,3,9,9,2,2,2,7,1,5,3,2,48,2,0,8,1,2,5,76003,76002
1,1,3,3,7,6,6,2,2,3,1,3,4,1,21,2,0,8,1,2,6,4,4
2,2,2,3,10,10,7,7,10,1,1,10,3,2,42,2,1,8,1,1,10,76001,4
1,1,2,3,10,3,10,8,1,1,1,7,2,2,26,2,0,8,0,2,3,4,4
1,2,2,3,2,5,1,8,5,5,2,2,3,1,29,3,1,6,0,1,5,4,4
1,1,2,3,1,1,1,2,2,1,7,9,2,1,46,2,1,6,0,2,3,4,4
1,1,2,3,5,1,4,8,1,8,1,8,3,1,46,3,1,6,1,2,4,76004,76029
1,1,2,3,8,4,10,2,10,5,1,7,2,2,29,2,1,6,1,3,5,76002,76029
1,3,2,3,4,5,9,8,1,1,1,9,4,2,28,1,0,6,1,0,5,76010,4
2,2,2,3,5,4,1,8,3,1,1,1,4,2,66,1,0,6,1,2,5,76003,76002
2,1,2,3,3,10,4,2,1,10,1,5,3,2,19,2,0,6,1,4,5,76002,4
1,3,2,3,5,10,3,7,1,1,1,5,3,2,80,1,0,6,1,2,5,76007,4
2,2,2,3,10,1,5,1,3,1,1,5,4,1,53,2,1,6,1,3,5,76003,76002
1,1,2,2,3,3,4,8,1,10,1,8,4,2,46,1,0,6,1,4,10,76002,76007
1,2,2,3,10,10,10,8,NA,10,1,1,4,2,28,1,1,5,1,NA,6,4,4
1,1,2,3,9,10,9,2,1,7,1,5,4,1,42,1,1,5,0,0,5,76002,4
2,1,2,3,7,6,8,7,1,1,1,10,4,2,42,1,1,5,1,0,5,4,4
2,1,2,3,2,9,1,2,1,1,1,1,3,2,51,1,1,5,1,0,5,4,4
1,1,2,2,1,9,5,8,1,1,1,1,2,2,36,1,1,5,1,3,5,4,4
1,1,3,3,6,8,1,7,1,5,1,10,4,2,47,1,1,5,1,3,5,4,4
1,1,2,3,6,8,1,2,1,8,1,5,3,1,39,2,1,5,1,3,5,76003,76002
1,1,2,3,6,7,8,5,4,4,1,4,3,2,65,1,0,5,1,2,7,76002,76006
1,1,3,3,7,6,5,8,1,5,1,5,3,2,31,1,0,5,1,2,6,76006,4
1,2,3,3,7,2,1,2,8,3,1,7,3,1,34,3,1,5,1,5,5,4,76007
3,2,2,3,3,5,5,1,3,5,5,8,3,2,42,1,0,4,0,3,5,76002,76006
NA,2,2,3,2,8,3,1,3,8,8,8,3,2,31,1,0,4,0,3,5,76002,76003
NA,2,2,3,3,5,3,8,2,3,3,7,4,1,81,1,1,4,1,1,5,76001,76010
1,2,2,3,2,6,4,7,2,2,2,7,2,2,36,1,0,7,0,2,5,76002,76003
1,3,2,3,3,4,3,2,8,3,3,3,4,2,51,1,1,4,1,3,8,76003,76002
NA,3,2,3,4,5,5,7,1,1,1,4,2,1,63,1,1,4,1,2,5,76002,76006
NA,3,2,3,3,6,3,8,2,2,2,2,4,2,62,1,1,4,1,2,5,76002,76010
NA,2,2,2,8,NA,2,8,2,2,2,2,3,1,73,1,1,4,1,NA,5,NA,NA
2,2,2,3,4,8,1,8,8,8,8,8,4,1,24,2,NA,4,0,2,9,76002,76010
NA,1,2,3,3,7,3,8,3,3,3,3,3,2,59,1,1,7,0,2,5,76002,76001
1,2,2,3,7,8,3,8,2,8,8,8,3,2,32,1,1,7,1,2,5,76003,76002
1,1,2,3,2,8,8,7,8,2,4,8,4,2,35,1,0,4,0,3,4,76001,76029
1,1,2,2,2,7,9,7,7,8,2,7,2,2,19,1,0,4,1,1,5,76002,76001
1,1,2,3,8,8,6,8,1,6,1,8,4,1,42,2,1,6,0,1,8,76002,4
1,2,2,3,5,7,4,2,1,8,10,8,4,1,33,1,1,6,0,1,4,76002,76007
1,2,2,3,7,9,7,5,1,5,1,6,3,1,62,2,1,6,0,0,8,76007,76002
1,1,2,3,6,3,8,6,1,1,1,7,4,1,36,1,0,6,0,3,7,76002,76006
1,1,2,3,7,9,4,7,2,7,1,7,3,2,39,1,1,6,1,3,5,76002,4
1,2,2,3,8,8,4,7,1,7,1,6,3,1,64,2,0,6,1,1,9,76002,76003
1,1,2,3,5,5,2,8,1,8,1,7,4,2,18,2,0,6,1,3,5,76002,76010
1,1,2,3,8,8,5,6,1,4,1,1,3,1,51,1,1,6,1,1,9,76003,76010
1,1,2,3,5,8,3,8,1,4,1,4,3,2,54,1,0,6,0,2,NA,76002,76003
1,2,2,3,6,5,5,3,1,5,1,6,3,1,69,1,1,6,1,2,6,76002,76003
3,1,1,3,6,5,10,6,5,5,1,5,4,2,32,2,0,6,0,2,NA,76002,76029
1,1,2,3,1,3,4,1,5,1,1,1,3,1,68,1,1,6,1,1,NA,76001,4
1,1,2,3,2,1,4,6,1,1,5,5,3,2,20,3,1,6,1,2,8,4,76002
1,1,2,2,3,3,5,6,6,1,3,4,3,2,47,2,1,6,1,2,5,76029,4
1,1,2,2,5,2,1,8,7,1,1,1,4,2,49,1,0,6,1,2,5,NA,76002
1,1,2,2,10,5,1,6,5,1,1,3,3,2,31,2,1,6,1,1,5,76001,76002
1,1,2,2,8,9,3,6,2,1,1,1,4,1,24,2,1,6,1,2,3,5,76002
1,1,2,2,9,6,3,8,1,1,1,1,3,1,23,2,1,6,0,1,6,4,76002
1,1,2,2,9,4,2,2,1,1,1,1,3,1,18,1,0,6,0,3,6,76029,76002
1,1,2,2,6,6,2,6,1,1,1,1,3,1,26,2,0,6,1,2,5,76003,76029
1,3,2,3,2,4,5,7,5,4,2,3,3,1,34,2,1,8,1,3,5,76002,76003
2,1,2,3,3,5,5,7,4,3,1,6,3,2,43,1,0,8,1,2,5,76002,76001
2,1,2,3,5,4,5,7,4,5,5,4,3,2,46,2,0,8,0,3,5,76002,76001
2,1,2,3,4,5,5,6,3,1,1,4,3,2,73,1,1,8,1,3,5,4,4
1,1,2,2,6,1,1,6,1,1,1,5,3,2,52,2,1,8,1,3,5,76002,76006
2,1,2,3,5,4,5,6,2,5,5,9,2,1,67,1,1,8,1,2,5,4,4
2,1,2,3,7,4,3,2,1,6,3,8,3,1,48,3,1,8,1,2,5,76002,76003
1,1,2,3,6,5,3,2,1,7,3,9,3,2,68,1,1,8,1,3,5,76001,76002
1,1,2,3,4,3,4,1,1,7,7,10,2,2,27,2,1,8,0,3,5,76001,76005
2,1,2,3,5,7,2,8,1,7,3,9,1,2,64,1,1,8,1,3,5,4,4
1,1,2,3,10,1,1,1,1,10,10,10,3,2,65,1,1,8,1,2,5,76003,76002
1,2,2,3,4,5,5,8,1,1,1,5,4,2,66,2,1,8,1,1,8,76004,76002
2,2,2,1,3,5,7,3,4,5,1,5,4,1,71,1,1,8,1,2,6,4,4
2,1,2,3,3,5,6,8,1,1,1,1,1,2,47,1,1,8,1,3,NA,4,4
1,1,2,2,2,2,2,6,1,4,1,5,3,2,35,2,1,8,1,2,7,76002,76001
1,3,2,3,8,3,2,6,1,5,2,9,4,1,37,1,1,8,0,3,10,76002,4
1,1,2,3,7,5,2,7,1,5,1,9,4,2,68,2,1,8,1,3,5,76001,76002
1,1,2,3,5,3,1,2,1,5,7,9,3,2,20,2,0,8,0,3,5,76029,76002
2,1,2,3,7,3,4,1,4,5,3,9,4,2,31,3,1,8,0,3,5,76001,76002
2,1,2,3,8,4,5,7,1,3,4,5,4,1,42,1,0,8,1,2,7,76002,76006
1,1,1,3,10,10,1,1,1,1,1,5,4,1,43,2,0,8,1,2,1,76002,76001
1,1,2,3,8,6,8,7,1,9,10,8,3,2,33,1,1,8,1,4,5,4,76002
2,1,2,3,5,10,1,7,1,1,1,5,3,2,82,1,1,8,1,2,10,4,4
1,2,2,3,10,6,7,2,1,5,1,5,3,2,42,1,0,8,1,3,5,76002,76010
1,2,2,3,10,10,10,7,10,1,1,10,3,1,25,1,1,8,0,NA,1,76002,76006
2,2,2,2,10,10,1,1,10,1,1,1,4,1,33,2,1,8,0,NA,NA,4,4
1,1,2,3,10,10,1,8,1,5,1,8,3,2,72,1,1,8,1,2,10,4,4
1,1,2,3,10,10,1,1,1,1,1,10,1,2,56,1,1,8,1,NA,1,4,4
1,1,3,3,10,1,1,2,1,1,1,1,4,2,50,1,0,8,0,5,10,76002,76003
1,1,2,3,1,10,1,8,10,1,1,10,3,2,49,1,1,8,0,3,5,76001,76002
1,1,2,3,8,9,10,8,10,10,1,10,4,2,28,1,1,8,0,2,1,4,76003
1,3,3,3,10,5,5,8,1,1,1,1,4,2,82,1,1,8,0,1,10,76002,4
2,1,1,3,10,10,10,8,1,1,1,1,1,2,56,1,1,8,1,2,1,76002,5
1,2,1,3,1,10,1,8,10,1,1,1,1,2,48,2,1,8,0,3,10,76001,76006
1,2,2,2,5,5,5,8,1,1,1,1,4,1,57,1,1,8,0,2,10,76002,4
2,2,2,3,10,1,10,2,1,1,1,10,4,1,26,1,1,8,0,2,10,76003,76006
2,2,2,3,10,5,10,2,1,1,1,10,4,1,28,1,1,8,0,1,1,76003,76029
2,2,2,3,10,9,10,8,10,10,1,1,4,2,58,1,1,8,0,2,10,4,76001
1,3,2,1,10,5,1,7,1,1,8,10,2,1,28,1,1,8,0,1,5,76002,76010
2,1,1,3,10,10,3,8,1,1,1,1,4,2,35,1,1,8,0,0,10,76002,76007
1,1,2,2,5,1,1,3,10,5,1,10,3,2,30,1,1,8,0,2,5,76002,4
1,1,2,1,1,1,1,8,5,5,1,5,1,2,48,1,0,8,1,1,5,4,76002
1,1,2,3,1,1,1,2,10,10,1,10,3,2,25,3,1,8,0,2,10,76003,76002
2,3,2,3,10,1,1,2,1,NA,1,1,3,2,48,3,1,8,1,1,8,76001,76002
2,1,2,3,10,1,1,7,1,1,1,1,4,2,38,1,1,8,1,2,10,76002,76006
1,1,3,3,6,8,1,6,1,5,1,5,3,2,18,2,0,8,1,4,5,4,4
1,1,3,3,10,10,10,7,1,4,1,3,3,2,19,2,0,8,0,2,3,76002,76006
1,2,2,3,10,10,1,7,10,1,1,10,2,1,19,2,0,8,0,1,5,76003,76006
1,1,2,2,1,1,1,7,1,5,5,5,4,2,35,2,NA,8,1,1,1,76002,4
2,1,2,3,2,2,1,8,6,1,1,3,1,1,23,3,1,8,0,3,5,4,76002
1,1,2,3,1,6,5,6,1,5,5,7,2,1,20,3,0,8,0,4,1,76002,76010
2,2,2,3,1,10,1,7,1,1,1,5,4,2,69,1,1,8,0,2,5,76002,76029
2,3,2,3,5,1,1,8,1,1,3,5,4,2,25,2,1,8,1,1,10,76001,76005
1,1,2,2,10,10,1,2,1,5,5,10,3,2,31,1,0,8,0,0,5,4,4
1,2,2,2,10,10,1,2,6,1,1,1,2,2,30,1,0,8,1,4,5,76002,76003
1,1,3,3,5,10,7,6,1,1,1,10,4,2,49,1,0,8,1,3,5,76002,76001
2,1,2,2,5,5,9,2,3,1,1,6,3,2,55,2,1,8,0,2,7,76002,76003
1,1,2,3,1,5,5,7,5,5,1,5,3,2,29,2,0,8,1,5,4,76002,76003
1,2,2,3,10,1,10,8,1,1,1,10,4,2,37,1,1,8,1,4,5,76002,4
1,1,2,3,1,1,NA,2,7,1,1,5,3,2,20,2,1,8,0,2,6,76002,76001
3,1,1,3,8,1,1,2,1,5,1,5,3,1,56,2,1,6,0,0,5,76001,76002
NA,2,2,3,7,5,3,8,1,1,1,1,4,2,81,1,1,6,0,1,5,4,NA
1,2,2,3,8,8,5,2,7,6,1,7,3,1,21,2,0,6,0,3,6,76029,76006
1,2,2,3,10,10,10,5,8,5,5,4,1,2,23,2,1,6,0,2,8,4,76001
2,1,2,3,7,5,1,5,1,1,1,8,3,2,65,2,1,6,0,2,NA,76001,76004
1,3,3,3,5,2,4,8,2,8,1,8,3,1,32,3,1,6,1,5,3,76002,76003
2,2,2,3,10,10,1,7,10,1,1,1,3,2,64,1,1,6,1,1,9,76002,76003
1,1,1,3,1,1,1,7,1,10,1,5,3,2,61,1,1,6,0,4,5,76001,76003
1,1,2,3,7,8,1,8,5,6,1,5,2,2,19,2,1,6,0,1,3,4,76029
1,1,2,2,9,1,1,7,8,3,1,5,4,2,24,3,1,6,1,4,10,76003,4
2,1,2,3,1,10,1,8,1,9,1,1,2,2,27,2,0,6,0,2,7,76002,4
2,2,1,3,10,10,5,5,10,4,1,1,1,1,19,1,1,6,1,2,1,76002,4
2,1,2,3,9,3,7,2,5,1,10,3,4,2,22,2,0,6,0,2,7,76002,4
2,1,2,3,3,8,7,5,7,5,1,5,3,2,19,2,1,6,0,3,NA,76002,76010
1,1,2,3,7,7,6,3,8,1,1,10,3,2,21,2,0,6,1,1,5,76001,76010
2,1,2,3,1,10,1,8,9,6,10,8,1,2,21,2,1,6,1,1,5,NA,NA
2,1,2,3,9,5,5,8,6,1,1,1,3,1,30,2,1,6,1,3,5,76003,4
1,1,1,3,3,4,3,6,7,6,5,9,2,1,21,3,0,6,1,3,6,76010,4
1,1,2,3,1,10,1,2,1,NA,1,10,3,2,53,3,1,6,0,4,1,76003,76002
1,1,2,3,10,1,1,7,1,5,1,8,3,2,35,2,1,6,0,2,NA,4,4
1,3,2,3,9,1,1,7,1,1,1,1,4,2,50,1,0,5,0,4,2,76001,76002
2,1,2,3,1,4,4,6,6,5,1,8,4,2,57,2,1,5,1,2,5,76001,76005
1,1,2,2,6,1,1,8,1,1,1,1,4,1,37,3,1,5,1,3,6,76003,4
1,2,2,3,9,8,10,3,10,1,1,10,1,1,25,1,1,5,1,1,10,76002,76029
1,1,2,2,8,3,6,2,1,3,1,9,3,1,20,2,1,5,1,2,5,4,4
1,1,2,3,4,4,3,7,1,8,7,7,3,1,43,3,1,5,1,3,5,76002,76005
1,1,2,3,3,2,6,6,7,8,5,9,1,2,48,3,1,5,1,1,2,76004,76002
2,1,3,3,8,7,1,6,2,6,7,6,3,1,19,3,1,5,1,3,6,4,4
2,1,2,3,4,4,4,7,3,2,1,6,4,1,60,3,1,5,1,2,7,4,76006
3,1,2,1,1,3,3,7,8,5,1,7,2,2,37,3,1,5,1,2,2,76001,76005
1,2,2,3,8,8,7,7,3,5,3,5,3,2,54,1,1,5,1,4,5,76003,76002
1,2,2,3,1,1,1,2,10,10,2,3,4,1,22,1,0,5,1,3,6,76002,4
1,1,2,3,5,8,2,7,1,6,3,8,3,1,38,2,1,5,1,4,6,76003,76004
1,2,2,3,8,6,4,7,1,8,1,4,3,2,32,3,1,5,1,4,4,76001,76005
2,1,2,3,5,6,6,7,6,5,5,5,3,2,61,2,1,5,1,3,8,76005,76002
1,3,2,3,4,7,4,6,3,3,2,4,3,1,53,1,1,5,1,2,8,76005,4
2,1,2,3,8,3,2,6,3,6,4,7,1,2,18,2,1,5,1,3,6,76003,76002
1,1,3,3,6,3,3,2,2,10,1,10,4,1,53,1,0,5,1,3,6,76029,76002
1,1,2,3,8,2,3,5,1,3,5,5,3,2,42,3,1,5,1,2,9,76005,76002
1,2,2,3,4,4,4,8,1,1,10,1,1,1,45,2,1,5,1,2,5,4,4
1,3,3,2,5,4,3,6,4,1,4,5,3,1,21,2,1,8,0,3,5,76001,76002
1,1,2,3,2,1,1,2,10,1,10,10,4,1,62,1,1,8,0,2,10,76001,76002
1,1,2,2,2,2,5,7,7,5,1,8,4,2,27,3,1,8,0,3,3,76002,4
1,1,2,2,2,2,5,6,1,5,1,5,4,2,20,2,0,8,0,3,3,4,4
1,1,2,2,3,3,5,2,3,8,2,6,2,1,34,2,0,8,0,4,2,76002,76003
1,1,2,2,3,3,3,2,2,6,2,5,3,2,57,2,0,8,0,2,5,76029,4
